id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,10,-6.524,1,0.0282,0.769,0.000106,0.117,0.645,137.915,audio_features,spotify:track:3zwMVvkBe2qIKDObWgXw4N,https://api.spotify.com/v1/tracks/3zwMVvkBe2qIKDObWgXw4N,https://api.spotify.com/v1/audio-analysis/3zwMVvkBe2qIKDObWgXw4N,245027,4
25YjIR1YiP45o2EkXqdAtZ,0.644,0.647,7,-11.192,1,0.293,0.137,0.0,0.165,0.582,179.958,audio_features,spotify:track:25YjIR1YiP45o2EkXqdAtZ,https://api.spotify.com/v1/tracks/25YjIR1YiP45o2EkXqdAtZ,https://api.spotify.com/v1/audio-analysis/25YjIR1YiP45o2EkXqdAtZ,203027,4
1LhMopPAallLeaeNutqbgS,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,audio_features,spotify:track:1LhMopPAallLeaeNutqbgS,https://api.spotify.com/v1/tracks/1LhMopPAallLeaeNutqbgS,https://api.spotify.com/v1/audio-analysis/1LhMopPAallLeaeNutqbgS,278893,4
6UnCGAEmrbGIOSmGRZQ1M2,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,audio_features,spotify:track:6UnCGAEmrbGIOSmGRZQ1M2,https://api.spotify.com/v1/tracks/6UnCGAEmrbGIOSmGRZQ1M2,https://api.spotify.com/v1/audio-analysis/6UnCGAEmrbGIOSmGRZQ1M2,233880,4
03MOcbkkoNLjP0G91iODSB,0.366,0.589,0,-8.956,1,0.0333,0.251,1.15e-06,0.0791,0.84,175.935,audio_features,spotify:track:03MOcbkkoNLjP0G91iODSB,https://api.spotify.com/v1/tracks/03MOcbkkoNLjP0G91iODSB,https://api.spotify.com/v1/audio-analysis/03MOcbkkoNLjP0G91iODSB,201440,4
34ceTg8ChN5HjrqiIYCn9Q,0.673,0.683,1,-5.693,1,0.115,0.522,0.0,0.235,0.713,171.86,audio_features,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,https://api.spotify.com/v1/tracks/34ceTg8ChN5HjrqiIYCn9Q,https://api.spotify.com/v1/audio-analysis/34ceTg8ChN5HjrqiIYCn9Q,232000,4
5PH2eU6P5LdnwDezBu8334,0.71,0.477,1,-7.44,1,0.0397,0.167,1.24e-06,0.128,0.143,94.932,audio_features,spotify:track:5PH2eU6P5LdnwDezBu8334,https://api.spotify.com/v1/tracks/5PH2eU6P5LdnwDezBu8334,https://api.spotify.com/v1/audio-analysis/5PH2eU6P5LdnwDezBu8334,232533,4
1iQpStZpzBb5TOuTDKJKdj,0.3,0.894,2,-7.786,0,0.109,0.0515,0.000333,0.125,0.268,118.631,audio_features,spotify:track:1iQpStZpzBb5TOuTDKJKdj,https://api.spotify.com/v1/tracks/1iQpStZpzBb5TOuTDKJKdj,https://api.spotify.com/v1/audio-analysis/1iQpStZpzBb5TOuTDKJKdj,269600,4
280jC1bGyGtZq3VXsSk6hH,0.657,0.396,10,-9.167,1,0.125,0.666,0.0,0.108,0.514,104.211,audio_features,spotify:track:280jC1bGyGtZq3VXsSk6hH,https://api.spotify.com/v1/tracks/280jC1bGyGtZq3VXsSk6hH,https://api.spotify.com/v1/audio-analysis/280jC1bGyGtZq3VXsSk6hH,175001,4
4KROoGIaPaR1pBHPnR3bwC,0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,audio_features,spotify:track:4KROoGIaPaR1pBHPnR3bwC,https://api.spotify.com/v1/tracks/4KROoGIaPaR1pBHPnR3bwC,https://api.spotify.com/v1/audio-analysis/4KROoGIaPaR1pBHPnR3bwC,124001,4
1MBM7CyZbwJpVbbZJnHHRg,0.606,0.591,0,-7.228,0,0.087,0.0756,0.0,0.328,0.477,95.802,audio_features,spotify:track:1MBM7CyZbwJpVbbZJnHHRg,https://api.spotify.com/v1/tracks/1MBM7CyZbwJpVbbZJnHHRg,https://api.spotify.com/v1/audio-analysis/1MBM7CyZbwJpVbbZJnHHRg,252973,4
1xBRGN41DWx2vwNFY5CvGe,0.546,0.92,5,-4.83,0,0.0592,0.00661,3.13e-06,0.904,0.265,95.996,audio_features,spotify:track:1xBRGN41DWx2vwNFY5CvGe,https://api.spotify.com/v1/tracks/1xBRGN41DWx2vwNFY5CvGe,https://api.spotify.com/v1/audio-analysis/1xBRGN41DWx2vwNFY5CvGe,181333,4
62l3NSQPUxvcwwzKUmysrE,0.882,0.662,0,-6.382,1,0.242,0.0124,0.0,0.106,0.57,120.034,audio_features,spotify:track:62l3NSQPUxvcwwzKUmysrE,https://api.spotify.com/v1/tracks/62l3NSQPUxvcwwzKUmysrE,https://api.spotify.com/v1/audio-analysis/62l3NSQPUxvcwwzKUmysrE,106000,4
5pkd9ib1RgbkAd1R9bIOCa,0.562,0.503,1,-14.836,1,0.0335,0.319,0.0,0.163,0.846,127.827,audio_features,spotify:track:5pkd9ib1RgbkAd1R9bIOCa,https://api.spotify.com/v1/tracks/5pkd9ib1RgbkAd1R9bIOCa,https://api.spotify.com/v1/audio-analysis/5pkd9ib1RgbkAd1R9bIOCa,179933,4
