id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1RgiH5ucgoEWDKmGyA5drQ,0.602,0.371,9,-11.575,0,0.0322,0.23,0.0,0.0887,0.211,120.01,audio_features,spotify:track:1RgiH5ucgoEWDKmGyA5drQ,https://api.spotify.com/v1/tracks/1RgiH5ucgoEWDKmGyA5drQ,https://api.spotify.com/v1/audio-analysis/1RgiH5ucgoEWDKmGyA5drQ,280371,4
3O4s2m47MFhnGqmpkjoKYk,0.628,0.159,8,-14.363,1,0.0333,0.872,0.0,0.111,0.505,135.003,audio_features,spotify:track:3O4s2m47MFhnGqmpkjoKYk,https://api.spotify.com/v1/tracks/3O4s2m47MFhnGqmpkjoKYk,https://api.spotify.com/v1/audio-analysis/3O4s2m47MFhnGqmpkjoKYk,256400,4
5ZLzl6T8JwqMTMdoE0nCbU,0.642,0.628,7,-12.849,1,0.0358,0.334,8.29e-06,0.614,0.893,103.317,audio_features,spotify:track:5ZLzl6T8JwqMTMdoE0nCbU,https://api.spotify.com/v1/tracks/5ZLzl6T8JwqMTMdoE0nCbU,https://api.spotify.com/v1/audio-analysis/5ZLzl6T8JwqMTMdoE0nCbU,201867,4
2bD9x9kN4wYyVoyckeqlLk,0.708,0.497,0,-10.337,1,0.0527,0.189,0.0116,0.0723,0.919,132.997,audio_features,spotify:track:2bD9x9kN4wYyVoyckeqlLk,https://api.spotify.com/v1/tracks/2bD9x9kN4wYyVoyckeqlLk,https://api.spotify.com/v1/audio-analysis/2bD9x9kN4wYyVoyckeqlLk,223827,4
0gdmDP6xy3ZV7JNoHWAN9k,0.542,0.91,7,-8.924,1,0.0873,0.00228,0.00524,0.0686,0.775,101.774,audio_features,spotify:track:0gdmDP6xy3ZV7JNoHWAN9k,https://api.spotify.com/v1/tracks/0gdmDP6xy3ZV7JNoHWAN9k,https://api.spotify.com/v1/audio-analysis/0gdmDP6xy3ZV7JNoHWAN9k,173320,4
7ACxUo21jtTHzy7ZEV56vU,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,audio_features,spotify:track:7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/tracks/7ACxUo21jtTHzy7ZEV56vU,https://api.spotify.com/v1/audio-analysis/7ACxUo21jtTHzy7ZEV56vU,293183,4
4l8QmziTCKxPc32fRV5Qb9,0.434,0.922,0,-3.886,1,0.141,0.0146,0.0,0.198,0.766,173.494,audio_features,spotify:track:4l8QmziTCKxPc32fRV5Qb9,https://api.spotify.com/v1/tracks/4l8QmziTCKxPc32fRV5Qb9,https://api.spotify.com/v1/audio-analysis/4l8QmziTCKxPc32fRV5Qb9,248504,4
6baqGAXVOJ9ozvBxiIC64x,0.662,0.604,0,-5.643,1,0.0287,0.446,0.0,0.335,0.548,89.998,audio_features,spotify:track:6baqGAXVOJ9ozvBxiIC64x,https://api.spotify.com/v1/tracks/6baqGAXVOJ9ozvBxiIC64x,https://api.spotify.com/v1/audio-analysis/6baqGAXVOJ9ozvBxiIC64x,255698,4
3ij7wTT8OOy8MhkT6AS5aS,0.87,0.841,11,-5.084,0,0.0948,0.0193,7.71e-05,0.333,0.857,92.176,audio_features,spotify:track:3ij7wTT8OOy8MhkT6AS5aS,https://api.spotify.com/v1/tracks/3ij7wTT8OOy8MhkT6AS5aS,https://api.spotify.com/v1/audio-analysis/3ij7wTT8OOy8MhkT6AS5aS,261173,4
7n0lp1r1yHYXN2jZvqzbAI,0.689,0.722,7,-8.575,1,0.0313,0.0034,0.041,0.0488,0.97,123.145,audio_features,spotify:track:7n0lp1r1yHYXN2jZvqzbAI,https://api.spotify.com/v1/tracks/7n0lp1r1yHYXN2jZvqzbAI,https://api.spotify.com/v1/audio-analysis/7n0lp1r1yHYXN2jZvqzbAI,211146,4
