Artist,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,set,K44
Ziggy Marley,Revelation,4BWt85BLRIujlHaIOQDaqR,0.826,0.717,9,-6.212,1,0.0481,0.202,0.0,0.394,0.78,93.505,audio_features,spotify:track:4BWt85BLRIujlHaIOQDaqR,https://api.spotify.com/v1/tracks/4BWt85BLRIujlHaIOQDaqR,https://api.spotify.com/v1/audio-analysis/4BWt85BLRIujlHaIOQDaqR,228507,4,N,5
Wu-Tang Clan,Black Shampoo,0GPuNZ0ro0OYx0HdDZovGm,0.64,0.48,10,-12.254,1,0.176,0.064,0.0141,0.638,0.469,94.024,audio_features,spotify:track:0GPuNZ0ro0OYx0HdDZovGm,https://api.spotify.com/v1/tracks/0GPuNZ0ro0OYx0HdDZovGm,https://api.spotify.com/v1/audio-analysis/0GPuNZ0ro0OYx0HdDZovGm,229933,4,N,24
Michael W. Smith,"Oh Lord, You're Beautiful",2cZH66JVVPsrhldvO5egMs,0.308,0.2,10,-11.266,0,0.0305,0.93,0.00123,0.108,0.133,133.062,audio_features,spotify:track:2cZH66JVVPsrhldvO5egMs,https://api.spotify.com/v1/tracks/2cZH66JVVPsrhldvO5egMs,https://api.spotify.com/v1/audio-analysis/2cZH66JVVPsrhldvO5egMs,157107,4,N,36
Elvis Presley,Auld Lang Syne,1zdjH5wOXGxubeId3zq8fV,0.0985,0.405,0,-10.2,1,0.0444,0.000127,0.021,0.669,0.181,83.191,audio_features,spotify:track:1zdjH5wOXGxubeId3zq8fV,https://api.spotify.com/v1/tracks/1zdjH5wOXGxubeId3zq8fV,https://api.spotify.com/v1/audio-analysis/1zdjH5wOXGxubeId3zq8fV,129987,4,N,24
Vanilla Ice,Tha Weed Song,3XVozq1aeqsJwpXrEZrDJ9,0.979,0.792,2,-2.784,1,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,audio_features,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/tracks/3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/audio-analysis/3XVozq1aeqsJwpXrEZrDJ9,254467,4,N,6
Eurythmics,On Fire,6HLZaECJKDjNE0jiGBeqxz,0.724,0.909,8,-4.349,1,0.287,0.101,0.0,0.415,0.558,91.904,audio_features,spotify:track:6HLZaECJKDjNE0jiGBeqxz,https://api.spotify.com/v1/tracks/6HLZaECJKDjNE0jiGBeqxz,https://api.spotify.com/v1/audio-analysis/6HLZaECJKDjNE0jiGBeqxz,213493,4,N,4
Train,When The Fog Rolls In,7Jg93eTHUzLaePH9Ki6lfP,0.276,0.576,2,-3.849,1,0.0344,0.191,0.00016,0.082,0.223,172.08,audio_features,spotify:track:7Jg93eTHUzLaePH9Ki6lfP,https://api.spotify.com/v1/tracks/7Jg93eTHUzLaePH9Ki6lfP,https://api.spotify.com/v1/audio-analysis/7Jg93eTHUzLaePH9Ki6lfP,261760,3,N,29
Johnny Cash,Fast Boat To Sydney,4iStjOxJoR43jJfVaVpFJF,0.468,0.526,9,-8.976,1,0.0676,0.574,0.00243,0.0832,0.684,173.239,audio_features,spotify:track:4iStjOxJoR43jJfVaVpFJF,https://api.spotify.com/v1/tracks/4iStjOxJoR43jJfVaVpFJF,https://api.spotify.com/v1/audio-analysis/4iStjOxJoR43jJfVaVpFJF,148507,4,N,37
Doors,American Night,6B4LAyly39cv8Cat9nHObl,0.464,0.814,7,-5.012,1,0.0313,0.13,0.000278,0.13,0.3,102.986,audio_features,spotify:track:6B4LAyly39cv8Cat9nHObl,https://api.spotify.com/v1/tracks/6B4LAyly39cv8Cat9nHObl,https://api.spotify.com/v1/audio-analysis/6B4LAyly39cv8Cat9nHObl,202267,4,N,1
Paul Simon,"The Cool, Cool River",5vZ1BKMSLgrxxPYGMR904n,0.712,0.632,9,-7.704,1,0.0334,0.112,0.0,0.0648,0.764,119.931,audio_features,spotify:track:5vZ1BKMSLgrxxPYGMR904n,https://api.spotify.com/v1/tracks/5vZ1BKMSLgrxxPYGMR904n,https://api.spotify.com/v1/audio-analysis/5vZ1BKMSLgrxxPYGMR904n,187400,4,N,5
