id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
29dfnKJ6WvYcJpgQ0MKzX7,0.687,0.846,2,-3.003,1,0.0419,0.172,1.24e-05,0.0806,0.589,87.024,audio_features,spotify:track:29dfnKJ6WvYcJpgQ0MKzX7,https://api.spotify.com/v1/tracks/29dfnKJ6WvYcJpgQ0MKzX7,https://api.spotify.com/v1/audio-analysis/29dfnKJ6WvYcJpgQ0MKzX7,190147,4
5e9TFTbltYBg2xThimr0rU,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,audio_features,spotify:track:5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/tracks/5e9TFTbltYBg2xThimr0rU,https://api.spotify.com/v1/audio-analysis/5e9TFTbltYBg2xThimr0rU,270213,4
5GorCbAP4aL0EJ16frG2hd,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,audio_features,spotify:track:5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,https://api.spotify.com/v1/audio-analysis/5GorCbAP4aL0EJ16frG2hd,262333,4
4cxMGhkinTocPSVVKWIw0d,0.759,0.245,6,-6.545,1,0.138,0.515,0.000154,0.102,0.209,96.992,audio_features,spotify:track:4cxMGhkinTocPSVVKWIw0d,https://api.spotify.com/v1/tracks/4cxMGhkinTocPSVVKWIw0d,https://api.spotify.com/v1/audio-analysis/4cxMGhkinTocPSVVKWIw0d,237507,4
1FmdAhS8FqRoEJ4jcSfuKZ,0.388,0.777,1,-5.55,1,0.241,0.00575,0.0,0.288,0.192,175.933,audio_features,spotify:track:1FmdAhS8FqRoEJ4jcSfuKZ,https://api.spotify.com/v1/tracks/1FmdAhS8FqRoEJ4jcSfuKZ,https://api.spotify.com/v1/audio-analysis/1FmdAhS8FqRoEJ4jcSfuKZ,298133,4
2pQUmVMJiuGx3Dh0daDcJz,0.607,0.48,9,-7.833,1,0.635,0.451,0.0,0.357,0.142,171.332,audio_features,spotify:track:2pQUmVMJiuGx3Dh0daDcJz,https://api.spotify.com/v1/tracks/2pQUmVMJiuGx3Dh0daDcJz,https://api.spotify.com/v1/audio-analysis/2pQUmVMJiuGx3Dh0daDcJz,152973,4
0fcq51a3gOI6gPvzc0YLsk,0.797,0.64,11,-6.272,0,0.194,0.148,0.0,0.209,0.486,100.002,audio_features,spotify:track:0fcq51a3gOI6gPvzc0YLsk,https://api.spotify.com/v1/tracks/0fcq51a3gOI6gPvzc0YLsk,https://api.spotify.com/v1/audio-analysis/0fcq51a3gOI6gPvzc0YLsk,170053,4
5hnyJvgoWiQUYZttV4wXy6,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,audio_features,spotify:track:5hnyJvgoWiQUYZttV4wXy6,https://api.spotify.com/v1/tracks/5hnyJvgoWiQUYZttV4wXy6,https://api.spotify.com/v1/audio-analysis/5hnyJvgoWiQUYZttV4wXy6,267960,4
24n8p4vCkwNL9OhvTrwe9z,0.744,0.552,7,-7.406,1,0.0926,0.0834,8.02e-06,0.132,0.285,125.194,audio_features,spotify:track:24n8p4vCkwNL9OhvTrwe9z,https://api.spotify.com/v1/tracks/24n8p4vCkwNL9OhvTrwe9z,https://api.spotify.com/v1/audio-analysis/24n8p4vCkwNL9OhvTrwe9z,197307,5
73LAIbdrQkGlMlRPO2OvYT,0.819,0.514,0,-6.769,0,0.208,0.0844,0.0,0.184,0.366,134.095,audio_features,spotify:track:73LAIbdrQkGlMlRPO2OvYT,https://api.spotify.com/v1/tracks/73LAIbdrQkGlMlRPO2OvYT,https://api.spotify.com/v1/audio-analysis/73LAIbdrQkGlMlRPO2OvYT,176133,4
