Artist,Title
Justin Timberlake ,Morning Light
Lil Baby ,Still Hood
Travis Scott ,Oh My Dis Side
XXXTENTACION ,#PROUDCATOWNERREMIX
Drake ,Pussy & Millions
NLE Choppa ,Walk Em Down
Halsey ,I'm Not Mad
The Lumineers ,REPRISE
Chris Stapleton ,Nobody To Blame
Chief Keef ,Love Sosa
Conan Gray ,Jigsaw
PARTYNEXTDOOR ,Only U
Kehlani ,Lexii's Outro
Mustard ,On GOD
Future ,Krazy but True
Jack Johnson ,Better Together
Rae Sremmurd ,Come Get Her
Bad Bunny ,PA' ROMPERLA
ILOVEMAKONNEN ,Love
Smokepurpp ,Nephew
OneRepublic ,Wherever I Go
Chris Stapleton ,Tennessee Whiskey
Big Sean ,Overtime
Machine Gun Kelly ,drug dealer
Powfu ,death bed
Fifth Harmony ,Worth It
Gesaffelstein ,Lost in the Fire
Drake ,Energy
Stephen Sanchez ,Until I Found You
GAYLE ,abcdefu (angrier)
Tory Lanez ,Yessirr
Rod Wave ,Sneaky Links
Soulja Boy ,Crank That (Soulja Boy)
Ed Sheeran ,The Joker And The Queen
Tove Lo ,Keep It Simple
Bryson Tiller ,Right My Wrongs
BTS ,Love Maze
Lil Baby ,Underdog (Lil Baby & Gunna)
Lil Yachty ,FWM
Ed Sheeran ,Visiting Hours
DJ Khaled ,USE THIS GOSPEL
Kehlani ,Water
Kacey Musgraves ,camera roll
Lauren Daigle ,You Say
Mac Miller ,Wings
ZAYN ,Better
Calvin Harris ,How Deep Is Your Love
PARTYNEXTDOOR ,NEVER AGAIN
Future ,Zoom
Russ ,Are You Entertained
Chance the Rapper ,Pusha Man
Marshmello ,Fly
Florence + The Machine ,Sky Full Of Song
Robin Schulz ,Sugar
Gucci Mane ,Richer Than Errybody
Metro Boomin ,Overdue
Nas ,Life is Like a Dice Game  Spotify Singles
Future ,Last Name
Joyner Lucas ,Dreams Unfold
Taylor Swift ,Bye Bye Baby (Taylor’s Version) (From The Vault)
5 Seconds of Summer ,Take My Hand
Otis Redding ,(Sittin' On) the Dock of the Bay
The Cranberries ,Dreams
Chase Atlantic ,OHMAMI
Joey Bada$$ ,BABYLON
Kesha ,Tonight
A Tribe Called Quest ,Buggin' Out
G,Eazy  West Coast
Romeo Santos ,Sin Fin
Tory Lanez ,Old Friends x New Foes
Michael Ray ,Kiss You In The Morning
Vince Staples ,Big Fish
Megan Thee Stallion ,Pressurelicious
A Boogie Wit da Hoodie ,Look Back At It
Lil Peep ,hellboy
J Balvin ,Rosa
Young Thug ,Memo
RM ,Closer
Lil Eazzyy ,Onna Come Up
Trippie Redd ,No Honorable Mention
Logic ,100 Miles and Running (ft. Wale & John Lindahl)
Billie Eilish ,ocean eyes
Mr. Probz ,Waves  Robin Schulz Radio Edit
Olivia Rodrigo ,All I Want
Lil Wayne ,Scared of the Dark
24kGoldn ,CITY OF ANGELS
Rihanna ,Pon de Replay
Dan + Shay ,Officially Christmas
BROCKHAMPTON ,WEIGHT
Earl Sweatshirt ,Grief
G,Eazy  Down
The Beatles ,Can't Buy Me Love  Remastered
Twenty One Pilots ,Mulberry Street
Taylor Swift ,willow  90's trend remix
Jonas Brothers ,X
Taylor Swift ,the 1
Lil Wayne ,Don't Cry
Selena Gomez ,Hands To Myself
Daniel Caesar ,LOVE AGAIN
Chris Brown ,Liquor
Tory Lanez ,To D.R.E.A.M.
Future ,Solo
George Michael ,Father Figure  Remastered
John Mayer ,I Guess I Just Feel Like
Jon Bellion ,I FEEL IT
Little Big Town ,Day Drinking
Joy Again ,Looking Out for You
DJ Khaled ,WE GOING CRAZY
Andy Grammer ,Fresh Eyes
Vince Guaraldi Trio ,Greensleeves
P!nk ,Beautiful Trauma
Twenty One Pilots ,Message Man
Hozier ,Like Real People Do
A$AP Rocky ,CALLDROPS
