id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2IVsRhKrx8hlQBOWy4qebo,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,audio_features,spotify:track:2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/tracks/2IVsRhKrx8hlQBOWy4qebo,https://api.spotify.com/v1/audio-analysis/2IVsRhKrx8hlQBOWy4qebo,216880,3
3xjObvccQUvtUcV5GL3Hh3,0.458,0.888,10,-5.856,1,0.0593,0.0234,5.12e-06,0.24,0.606,145.236,audio_features,spotify:track:3xjObvccQUvtUcV5GL3Hh3,https://api.spotify.com/v1/tracks/3xjObvccQUvtUcV5GL3Hh3,https://api.spotify.com/v1/audio-analysis/3xjObvccQUvtUcV5GL3Hh3,248240,4
4qRjgQqYrSPZFzQM4vfRxw,0.53,0.481,5,-12.998,1,0.0288,0.009,0.147,0.0956,0.333,108.115,audio_features,spotify:track:4qRjgQqYrSPZFzQM4vfRxw,https://api.spotify.com/v1/tracks/4qRjgQqYrSPZFzQM4vfRxw,https://api.spotify.com/v1/audio-analysis/4qRjgQqYrSPZFzQM4vfRxw,303307,4
0P49pJa288tm8gKbFcofn9,0.396,0.295,4,-15.126,1,0.0343,0.625,7.6e-05,0.0989,0.187,155.531,audio_features,spotify:track:0P49pJa288tm8gKbFcofn9,https://api.spotify.com/v1/tracks/0P49pJa288tm8gKbFcofn9,https://api.spotify.com/v1/audio-analysis/0P49pJa288tm8gKbFcofn9,248587,4
0gaZi6J3Pk7FG7GNMHsK5o,0.21,0.236,0,-14.48,1,0.0278,0.86,0.00182,0.713,0.196,82.833,audio_features,spotify:track:0gaZi6J3Pk7FG7GNMHsK5o,https://api.spotify.com/v1/tracks/0gaZi6J3Pk7FG7GNMHsK5o,https://api.spotify.com/v1/audio-analysis/0gaZi6J3Pk7FG7GNMHsK5o,275333,4
1Ap9wotYS99H8R17VONySZ,0.405,0.96,2,-3.916,1,0.074,0.0001,0.0576,0.182,0.417,174.952,audio_features,spotify:track:1Ap9wotYS99H8R17VONySZ,https://api.spotify.com/v1/tracks/1Ap9wotYS99H8R17VONySZ,https://api.spotify.com/v1/audio-analysis/1Ap9wotYS99H8R17VONySZ,269467,4
4ggDbvTME5EAso1xfGX2M0,0.233,0.494,5,-12.387,1,0.058,0.172,1.16e-05,0.866,0.108,86.274,audio_features,spotify:track:4ggDbvTME5EAso1xfGX2M0,https://api.spotify.com/v1/tracks/4ggDbvTME5EAso1xfGX2M0,https://api.spotify.com/v1/audio-analysis/4ggDbvTME5EAso1xfGX2M0,363721,4
1eyq8cjUQ2daFthW2PC2GM,0.52,0.61,5,-7.935,1,0.0282,0.0805,2.95e-06,0.276,0.329,144.983,audio_features,spotify:track:1eyq8cjUQ2daFthW2PC2GM,https://api.spotify.com/v1/tracks/1eyq8cjUQ2daFthW2PC2GM,https://api.spotify.com/v1/audio-analysis/1eyq8cjUQ2daFthW2PC2GM,258333,4
0HLBLRkkTOlAmjonShicD0,0.558,0.17,4,-18.882,1,0.0331,0.887,0.037,0.113,0.635,76.835,audio_features,spotify:track:0HLBLRkkTOlAmjonShicD0,https://api.spotify.com/v1/tracks/0HLBLRkkTOlAmjonShicD0,https://api.spotify.com/v1/audio-analysis/0HLBLRkkTOlAmjonShicD0,180107,4
0R0CpA3ITTY8sRgXCNNvN8,0.5,0.693,2,-7.05,1,0.0287,0.00615,7.39e-05,0.221,0.343,110.037,audio_features,spotify:track:0R0CpA3ITTY8sRgXCNNvN8,https://api.spotify.com/v1/tracks/0R0CpA3ITTY8sRgXCNNvN8,https://api.spotify.com/v1/audio-analysis/0R0CpA3ITTY8sRgXCNNvN8,280747,4
1hQFF33xi8ruavZNyovtUN,0.737,0.495,1,-13.489,1,0.027,0.0588,9.12e-06,0.0542,0.967,104.409,audio_features,spotify:track:1hQFF33xi8ruavZNyovtUN,https://api.spotify.com/v1/tracks/1hQFF33xi8ruavZNyovtUN,https://api.spotify.com/v1/audio-analysis/1hQFF33xi8ruavZNyovtUN,197147,4
6wUK8WB3cbNUAAGjNmKy3M,0.638,0.961,7,-1.726,1,0.3,0.0144,0.00141,0.175,0.664,150.065,audio_features,spotify:track:6wUK8WB3cbNUAAGjNmKy3M,https://api.spotify.com/v1/tracks/6wUK8WB3cbNUAAGjNmKy3M,https://api.spotify.com/v1/audio-analysis/6wUK8WB3cbNUAAGjNmKy3M,179200,4
2QfiRTz5Yc8DdShCxG1tB2,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,audio_features,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/tracks/2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/audio-analysis/2QfiRTz5Yc8DdShCxG1tB2,161560,4
0JvSSPwlmpwwy2jGTPLddO,0.739,0.704,4,-8.181,1,0.042,0.0404,0.324,0.0271,0.912,109.866,audio_features,spotify:track:0JvSSPwlmpwwy2jGTPLddO,https://api.spotify.com/v1/tracks/0JvSSPwlmpwwy2jGTPLddO,https://api.spotify.com/v1/audio-analysis/0JvSSPwlmpwwy2jGTPLddO,286067,4
1lvfkj8ymXgaJCAubAS5ap,0.406,0.348,2,-9.259,1,0.0275,0.698,0.0,0.102,0.326,86.953,audio_features,spotify:track:1lvfkj8ymXgaJCAubAS5ap,https://api.spotify.com/v1/tracks/1lvfkj8ymXgaJCAubAS5ap,https://api.spotify.com/v1/audio-analysis/1lvfkj8ymXgaJCAubAS5ap,277440,4
